dataset,fold,method,noise_levels,instance_level,accuracy,kappa
vehicle,Fold_1,ctree,0.1,0.3,0.994152046783626,0.992164948453608
vehicle,Fold_1,ctree,0.1,0.4,0.994152046783626,0.992164948453608
vehicle,Fold_1,ctree,0.1,0.5,0.994152046783626,0.992164948453608
vehicle,Fold_1,ctree,0.1,0.6,0.994152046783626,0.992164948453608
vehicle,Fold_1,ctree,0.1,0.7,0.988304093567251,0.984327742645037
vehicle,Fold_1,ctree,0.1,0.75,0.988304093567251,0.984327742645037
vehicle,Fold_1,ctree,0.1,0.8,0.988304093567251,0.984327742645037
vehicle,Fold_1,ctree,0.1,0.9,0.988304093567251,0.984327742645037
vehicle,Fold_1,ctree,0.1,1,0.982456140350877,0.976488381685687
vehicle,Fold_1,ctree,0.2,0.1,1,1
vehicle,Fold_1,ctree,0.2,0.2,1,1
vehicle,Fold_1,ctree,0.2,0.25,1,1
vehicle,Fold_1,ctree,0.2,0.3,1,1
vehicle,Fold_1,ctree,0.2,0.4,1,1
vehicle,Fold_1,ctree,0.2,0.5,1,1
vehicle,Fold_1,ctree,0.2,0.6,1,1
vehicle,Fold_1,ctree,0.2,0.7,1,1
vehicle,Fold_1,ctree,0.2,0.75,1,1
vehicle,Fold_1,ctree,0.2,0.8,1,1
vehicle,Fold_1,ctree,0.2,0.9,0.994152046783626,0.992156323104445
vehicle,Fold_1,ctree,0.2,1,0.988304093567251,0.984311926605504
vehicle,Fold_1,ctree,0.3,0.1,0.994152046783626,0.992159559834938
vehicle,Fold_1,ctree,0.3,0.2,0.994152046783626,0.992159559834938
vehicle,Fold_1,ctree,0.3,0.25,0.994152046783626,0.992159559834938
vehicle,Fold_1,ctree,0.3,0.3,0.994152046783626,0.992159559834938
vehicle,Fold_1,ctree,0.3,0.4,0.988304093567251,0.984330614863007
vehicle,Fold_1,ctree,0.3,0.5,0.988304093567251,0.984330614863007
vehicle,Fold_1,ctree,0.3,0.6,0.982456140350877,0.976487304060867
vehicle,Fold_1,ctree,0.3,0.7,0.982456140350877,0.976487304060867
vehicle,Fold_1,ctree,0.3,0.75,0.976608187134503,0.968659793814433
vehicle,Fold_1,ctree,0.3,0.8,0.970760233918129,0.960839096780103
vehicle,Fold_1,ctree,0.3,0.9,0.953216374269006,0.937362637362637
vehicle,Fold_1,ctree,0.3,1,0.935672514619883,0.913897280966767
vehicle,Fold_2,ctree,0.1,0.1,1,1
vehicle,Fold_2,ctree,0.1,0.2,1,1
vehicle,Fold_2,ctree,0.1,0.25,1,1
vehicle,Fold_2,ctree,0.1,0.3,1,1
vehicle,Fold_2,ctree,0.1,0.4,1,1
vehicle,Fold_2,ctree,0.1,0.5,1,1
vehicle,Fold_2,ctree,0.1,0.6,0.994047619047619,0.991973244147157
vehicle,Fold_2,ctree,0.1,0.7,0.994047619047619,0.991973244147157
vehicle,Fold_2,ctree,0.1,0.75,0.994047619047619,0.991973244147157
vehicle,Fold_2,ctree,0.1,0.8,0.994047619047619,0.991973244147157
vehicle,Fold_2,ctree,0.1,0.9,0.994047619047619,0.991973244147157
vehicle,Fold_2,ctree,0.1,1,0.988095238095238,0.983931133428981
vehicle,Fold_2,ctree,0.2,0.1,0.994047619047619,0.991967871485944
vehicle,Fold_2,ctree,0.2,0.2,0.994047619047619,0.991967871485944
vehicle,Fold_2,ctree,0.2,0.25,0.994047619047619,0.991967871485944
vehicle,Fold_2,ctree,0.2,0.3,0.994047619047619,0.991967871485944
vehicle,Fold_2,ctree,0.2,0.4,0.988095238095238,0.983951089033244
vehicle,Fold_2,ctree,0.2,0.5,0.988095238095238,0.983951089033244
vehicle,Fold_2,ctree,0.2,0.6,0.988095238095238,0.983951089033244
vehicle,Fold_2,ctree,0.2,0.7,0.988095238095238,0.983951089033244
vehicle,Fold_2,ctree,0.2,0.75,0.988095238095238,0.983951089033244
vehicle,Fold_2,ctree,0.2,0.8,0.982142857142857,0.975949608703951
vehicle,Fold_2,ctree,0.2,0.9,0.976190476190476,0.967911374271798
vehicle,Fold_2,ctree,0.2,1,0.976190476190476,0.967911374271798
vehicle,Fold_2,ctree,0.3,0.1,0.988095238095238,0.983977110157368
vehicle,Fold_2,ctree,0.3,0.2,0.982142857142857,0.975972540045767
vehicle,Fold_2,ctree,0.3,0.25,0.982142857142857,0.975972540045767
vehicle,Fold_2,ctree,0.3,0.3,0.982142857142857,0.975972540045767
vehicle,Fold_2,ctree,0.3,0.4,0.982142857142857,0.975972540045767
vehicle,Fold_2,ctree,0.3,0.5,0.976190476190476,0.967972547898199
vehicle,Fold_2,ctree,0.3,0.6,0.970238095238095,0.959992379500857
vehicle,Fold_2,ctree,0.3,0.7,0.964285714285714,0.952022846263684
vehicle,Fold_2,ctree,0.3,0.75,0.964285714285714,0.952022846263684
vehicle,Fold_2,ctree,0.3,0.8,0.964285714285714,0.952022846263684
vehicle,Fold_2,ctree,0.3,0.9,0.964285714285714,0.952022846263684
vehicle,Fold_2,ctree,0.3,1,0.958333333333333,0.944063926940639
vehicle,Fold_3,ctree,0.1,0.1,1,1
vehicle,Fold_3,ctree,0.1,0.2,1,1
vehicle,Fold_3,ctree,0.1,0.25,1,1
vehicle,Fold_3,ctree,0.1,0.3,1,1
vehicle,Fold_3,ctree,0.1,0.4,1,1
vehicle,Fold_3,ctree,0.1,0.5,0.994082840236686,0.991813998546864
vehicle,Fold_3,ctree,0.1,0.6,0.994082840236686,0.991813998546864
vehicle,Fold_3,ctree,0.1,0.7,0.994082840236686,0.991813998546864
vehicle,Fold_3,ctree,0.1,0.75,0.994082840236686,0.991813998546864
vehicle,Fold_3,ctree,0.1,0.8,0.994082840236686,0.991813998546864
vehicle,Fold_3,ctree,0.1,0.9,0.988165680473373,0.983628790080403
vehicle,Fold_3,ctree,0.1,1,0.988165680473373,0.983628790080403
vehicle,Fold_3,ctree,0.2,0.1,1,1
vehicle,Fold_3,ctree,0.2,0.2,1,1
vehicle,Fold_3,ctree,0.2,0.25,1,1
vehicle,Fold_3,ctree,0.2,0.3,0.994082840236686,0.991813998546864
vehicle,Fold_3,ctree,0.2,0.4,0.994082840236686,0.991813998546864
vehicle,Fold_3,ctree,0.2,0.5,0.988165680473373,0.983611326609775
vehicle,Fold_3,ctree,0.2,0.6,0.982248520710059,0.975415797895554
vehicle,Fold_3,ctree,0.2,0.7,0.970414201183432,0.959155065738593
vehicle,Fold_3,ctree,0.2,0.75,0.970414201183432,0.959155065738593
vehicle,Fold_3,ctree,0.2,0.8,0.970414201183432,0.959155065738593
vehicle,Fold_3,ctree,0.2,0.9,0.970414201183432,0.959155065738593
vehicle,Fold_3,ctree,0.2,1,0.970414201183432,0.959155065738593
vehicle,Fold_3,ctree,0.3,0.1,1,1
vehicle,Fold_3,ctree,0.3,0.2,1,1
vehicle,Fold_3,ctree,0.3,0.25,1,1
vehicle,Fold_3,ctree,0.3,0.3,0.994082840236686,0.991813998546864
vehicle,Fold_3,ctree,0.3,0.4,0.994082840236686,0.991813998546864
vehicle,Fold_3,ctree,0.3,0.5,0.988165680473373,0.983611326609775
vehicle,Fold_3,ctree,0.3,0.6,0.976331360946746,0.967187651684302
vehicle,Fold_3,ctree,0.3,0.7,0.976331360946746,0.967187651684302
vehicle,Fold_3,ctree,0.3,0.75,0.976331360946746,0.967187651684302
vehicle,Fold_3,ctree,0.3,0.8,0.976331360946746,0.967187651684302
vehicle,Fold_3,ctree,0.3,0.9,0.976331360946746,0.967187651684302
vehicle,Fold_3,ctree,0.3,1,0.976331360946746,0.967187651684302
vehicle,Fold_4,ctree,0.1,0.1,1,1
vehicle,Fold_4,ctree,0.1,0.2,1,1
vehicle,Fold_4,ctree,0.1,0.25,0.994117647058824,0.992134727491441
vehicle,Fold_4,ctree,0.1,0.3,0.988235294117647,0.984266543267006
vehicle,Fold_4,ctree,0.1,0.4,0.988235294117647,0.984266543267006
vehicle,Fold_4,ctree,0.1,0.5,0.988235294117647,0.984266543267006
vehicle,Fold_4,ctree,0.1,0.6,0.982352941176471,0.976395445709525
vehicle,Fold_4,ctree,0.1,0.7,0.976470588235294,0.968514145483169
vehicle,Fold_4,ctree,0.1,0.75,0.976470588235294,0.968514145483169
vehicle,Fold_4,ctree,0.1,0.8,0.976470588235294,0.968514145483169
vehicle,Fold_4,ctree,0.1,0.9,0.976470588235294,0.968514145483169
vehicle,Fold_4,ctree,0.1,1,0.964705882352941,0.952771218224753
vehicle,Fold_4,ctree,0.2,0.1,1,1
vehicle,Fold_4,ctree,0.2,0.2,0.982352941176471,0.97641400360727
vehicle,Fold_4,ctree,0.2,0.25,0.976470588235294,0.96854618622508
vehicle,Fold_4,ctree,0.2,0.3,0.970588235294118,0.960675456858663
vehicle,Fold_4,ctree,0.2,0.4,0.970588235294118,0.960675456858663
vehicle,Fold_4,ctree,0.2,0.5,0.970588235294118,0.960675456858663
vehicle,Fold_4,ctree,0.2,0.6,0.952941176470588,0.937066173068024
vehicle,Fold_4,ctree,0.2,0.7,0.952941176470588,0.937066173068024
vehicle,Fold_4,ctree,0.2,0.75,0.941176470588235,0.921398187534677
vehicle,Fold_4,ctree,0.2,0.8,0.923529411764706,0.897921478060046
vehicle,Fold_4,ctree,0.2,0.9,0.923529411764706,0.897921478060046
vehicle,Fold_4,ctree,0.2,1,0.917647058823529,0.890048969786566
vehicle,Fold_4,ctree,0.3,0.1,0.994117647058824,0.992011278195489
vehicle,Fold_4,ctree,0.3,0.2,0.970588235294118,0.96004136893569
vehicle,Fold_4,ctree,0.3,0.25,0.964705882352941,0.952081180118388
vehicle,Fold_4,ctree,0.3,0.3,0.958823529411765,0.944131455399061
vehicle,Fold_4,ctree,0.3,0.4,0.958823529411765,0.944131455399061
vehicle,Fold_4,ctree,0.3,0.5,0.952941176470588,0.936111241602856
vehicle,Fold_4,ctree,0.3,0.6,0.952941176470588,0.936111241602856
vehicle,Fold_4,ctree,0.3,0.7,0.952941176470588,0.936111241602856
vehicle,Fold_4,ctree,0.3,0.75,0.952941176470588,0.936111241602856
vehicle,Fold_4,ctree,0.3,0.8,0.952941176470588,0.936111241602856
vehicle,Fold_4,ctree,0.3,0.9,0.941176470588235,0.920154055704288
vehicle,Fold_4,ctree,0.3,1,0.935294117647059,0.912111669878272
vehicle,Fold_5,ctree,0.1,0.1,0.994047619047619,0.991990464839094
vehicle,Fold_5,ctree,0.1,0.2,0.988095238095238,0.983969465648855
vehicle,Fold_5,ctree,0.1,0.25,0.988095238095238,0.983969465648855
vehicle,Fold_5,ctree,0.1,0.3,0.988095238095238,0.983969465648855
vehicle,Fold_5,ctree,0.1,0.4,0.988095238095238,0.983969465648855
vehicle,Fold_5,ctree,0.1,0.5,0.988095238095238,0.983969465648855
vehicle,Fold_5,ctree,0.1,0.6,0.988095238095238,0.983969465648855
vehicle,Fold_5,ctree,0.1,0.7,0.988095238095238,0.983969465648855
vehicle,Fold_5,ctree,0.1,0.75,0.988095238095238,0.983969465648855
vehicle,Fold_5,ctree,0.1,0.8,0.988095238095238,0.983969465648855
vehicle,Fold_5,ctree,0.1,0.9,0.982142857142857,0.975957639650813
vehicle,Fold_5,ctree,0.1,1,0.982142857142857,0.975957639650813
vehicle,Fold_5,ctree,0.2,0.1,1,1
vehicle,Fold_5,ctree,0.2,0.2,0.988095238095238,0.983977110157368
vehicle,Fold_5,ctree,0.2,0.25,0.988095238095238,0.983977110157368
vehicle,Fold_5,ctree,0.2,0.3,0.988095238095238,0.983977110157368
vehicle,Fold_5,ctree,0.2,0.4,0.982142857142857,0.975982844889207
vehicle,Fold_5,ctree,0.2,0.5,0.976190476190476,0.967954220314735
vehicle,Fold_5,ctree,0.2,0.6,0.976190476190476,0.967954220314735
vehicle,Fold_5,ctree,0.2,0.7,0.970238095238095,0.959929399418022
vehicle,Fold_5,ctree,0.2,0.75,0.964285714285714,0.951873955597995
vehicle,Fold_5,ctree,0.2,0.8,0.964285714285714,0.951873955597995
vehicle,Fold_5,ctree,0.2,0.9,0.958333333333333,0.943812709030101
vehicle,Fold_5,ctree,0.2,1,0.952380952380952,0.935841130418178
vehicle,Fold_5,ctree,0.3,0.1,0.988095238095238,0.983992377322535
vehicle,Fold_5,ctree,0.3,0.2,0.976190476190476,0.967966441033464
vehicle,Fold_5,ctree,0.3,0.25,0.976190476190476,0.967966441033464
vehicle,Fold_5,ctree,0.3,0.3,0.970238095238095,0.959944685518096
vehicle,Fold_5,ctree,0.3,0.4,0.958333333333333,0.943874385529519
vehicle,Fold_5,ctree,0.3,0.5,0.958333333333333,0.943874385529519
vehicle,Fold_5,ctree,0.3,0.6,0.952380952380952,0.935847255369928
vehicle,Fold_5,ctree,0.3,0.7,0.946428571428571,0.927838495680809
vehicle,Fold_5,ctree,0.3,0.75,0.946428571428571,0.927838495680809
vehicle,Fold_5,ctree,0.3,0.8,0.946428571428571,0.927838495680809
vehicle,Fold_5,ctree,0.3,0.9,0.93452380952381,0.911798396334479
vehicle,Fold_5,ctree,0.3,1,0.928571428571429,0.903862660944206
vehicle,Fold_1,fda,0.1,0.1,0.964912280701754,0.952959515840631
vehicle,Fold_1,fda,0.1,0.2,0.953216374269006,0.93733681462141
vehicle,Fold_1,fda,0.1,0.25,0.941520467836257,0.921599193067718
vehicle,Fold_1,fda,0.1,0.3,0.941520467836257,0.921599193067718
vehicle,Fold_1,fda,0.1,0.4,0.923976608187134,0.898144329896907
vehicle,Fold_1,fda,0.1,0.5,0.912280701754386,0.882468841642229
vehicle,Fold_1,fda,0.1,0.6,0.900584795321637,0.866791916785043
vehicle,Fold_1,fda,0.1,0.7,0.87719298245614,0.835682254964766
vehicle,Fold_1,fda,0.1,0.75,0.865497076023392,0.820115257958288
vehicle,Fold_1,fda,0.1,0.8,0.853801169590643,0.804642873463419
vehicle,Fold_1,fda,0.1,0.9,0.83625730994152,0.781049935979513
vehicle,Fold_1,fda,0.1,1,0.830409356725146,0.773074635061548
vehicle,Fold_1,fda,0.2,0.1,0.976608187134503,0.968639677227087
vehicle,Fold_1,fda,0.2,0.2,0.941520467836257,0.921566828731309
vehicle,Fold_1,fda,0.2,0.25,0.941520467836257,0.921566828731309
vehicle,Fold_1,fda,0.2,0.3,0.929824561403509,0.905841325196164
vehicle,Fold_1,fda,0.2,0.4,0.906432748538012,0.874276261373036
vehicle,Fold_1,fda,0.2,0.5,0.871345029239766,0.827137802692644
vehicle,Fold_1,fda,0.2,0.6,0.842105263157895,0.788113813675998
vehicle,Fold_1,fda,0.2,0.7,0.818713450292398,0.756834862385321
vehicle,Fold_1,fda,0.2,0.75,0.789473684210526,0.71730345334313
vehicle,Fold_1,fda,0.2,0.8,0.766081871345029,0.686324864716133
vehicle,Fold_1,fda,0.2,0.9,0.742690058479532,0.654481998530492
vehicle,Fold_1,fda,0.2,1,0.725146198830409,0.630652573529412
vehicle,Fold_1,fda,0.3,0.1,0.95906432748538,0.945189798067677
vehicle,Fold_1,fda,0.3,0.2,0.947368421052632,0.929529740372728
vehicle,Fold_1,fda,0.3,0.25,0.929824561403509,0.90588882773803
vehicle,Fold_1,fda,0.3,0.3,0.906432748538012,0.874460860787373
vehicle,Fold_1,fda,0.3,0.4,0.888888888888889,0.850826446280992
vehicle,Fold_1,fda,0.3,0.5,0.859649122807018,0.81151832460733
vehicle,Fold_1,fda,0.3,0.6,0.830409356725146,0.771958061252644
vehicle,Fold_1,fda,0.3,0.7,0.789473684210526,0.716926472616913
vehicle,Fold_1,fda,0.3,0.75,0.777777777777778,0.700925116214848
vehicle,Fold_1,fda,0.3,0.8,0.766081871345029,0.685271246491511
vehicle,Fold_1,fda,0.3,0.9,0.736842105263158,0.646190629454228
vehicle,Fold_1,fda,0.3,1,0.707602339181287,0.606769994940901
vehicle,Fold_2,fda,0.1,0.1,0.976190476190476,0.96808662202593
vehicle,Fold_2,fda,0.1,0.2,0.964285714285714,0.952154926903361
vehicle,Fold_2,fda,0.1,0.25,0.946428571428571,0.928300455235205
vehicle,Fold_2,fda,0.1,0.3,0.93452380952381,0.912329806916837
vehicle,Fold_2,fda,0.1,0.4,0.910714285714286,0.880563059860657
vehicle,Fold_2,fda,0.1,0.5,0.904761904761905,0.872600597184701
vehicle,Fold_2,fda,0.1,0.6,0.880952380952381,0.840667678300455
vehicle,Fold_2,fda,0.1,0.7,0.875,0.832629631386688
vehicle,Fold_2,fda,0.1,0.75,0.863095238095238,0.816802579176939
vehicle,Fold_2,fda,0.1,0.8,0.851190476190476,0.800872368670586
vehicle,Fold_2,fda,0.1,0.9,0.833333333333333,0.776977052911056
vehicle,Fold_2,fda,0.1,1,0.80952380952381,0.745575011831519
vehicle,Fold_2,fda,0.2,0.1,0.958333333333333,0.944127708095781
vehicle,Fold_2,fda,0.2,0.2,0.93452380952381,0.91224654542001
vehicle,Fold_2,fda,0.2,0.25,0.910714285714286,0.880410022779043
vehicle,Fold_2,fda,0.2,0.3,0.898809523809524,0.864464692482916
vehicle,Fold_2,fda,0.2,0.4,0.869047619047619,0.824709509129713
vehicle,Fold_2,fda,0.2,0.5,0.845238095238095,0.792966157929662
vehicle,Fold_2,fda,0.2,0.6,0.791666666666667,0.721683154257585
vehicle,Fold_2,fda,0.2,0.7,0.773809523809524,0.69785602726111
vehicle,Fold_2,fda,0.2,0.75,0.755952380952381,0.673894517564624
vehicle,Fold_2,fda,0.2,0.8,0.75,0.6657666619298
vehicle,Fold_2,fda,0.2,0.9,0.714285714285714,0.617729319744015
vehicle,Fold_2,fda,0.2,1,0.68452380952381,0.578129441864872
vehicle,Fold_2,fda,0.3,0.1,0.952380952380952,0.936267071320182
vehicle,Fold_2,fda,0.3,0.2,0.910714285714286,0.880726997349489
vehicle,Fold_2,fda,0.3,0.25,0.886904761904762,0.849078014184397
vehicle,Fold_2,fda,0.3,0.3,0.863095238095238,0.816976127320955
vehicle,Fold_2,fda,0.3,0.4,0.827380952380952,0.76905574516496
vehicle,Fold_2,fda,0.3,0.5,0.80952380952381,0.745538883892649
vehicle,Fold_2,fda,0.3,0.6,0.75,0.666335650446872
vehicle,Fold_2,fda,0.3,0.7,0.708333333333333,0.610227272727273
vehicle,Fold_2,fda,0.3,0.75,0.68452380952381,0.57790945721735
vehicle,Fold_2,fda,0.3,0.8,0.660714285714286,0.545471805581925
vehicle,Fold_2,fda,0.3,0.9,0.636904761904762,0.514036418816388
vehicle,Fold_2,fda,0.3,1,0.607142857142857,0.47492541554198
vehicle,Fold_3,fda,0.1,0.1,0.982248520710059,0.976270710474586
vehicle,Fold_3,fda,0.1,0.2,0.952662721893491,0.936730778230146
vehicle,Fold_3,fda,0.1,0.25,0.946745562130177,0.928812131423757
vehicle,Fold_3,fda,0.1,0.3,0.940828402366864,0.920891260590741
vehicle,Fold_3,fda,0.1,0.4,0.905325443786982,0.873372670225719
vehicle,Fold_3,fda,0.1,0.5,0.893491124260355,0.857470833528557
vehicle,Fold_3,fda,0.1,0.6,0.887573964497041,0.849573690621193
vehicle,Fold_3,fda,0.1,0.7,0.863905325443787,0.817904993909866
vehicle,Fold_3,fda,0.1,0.75,0.85207100591716,0.802070645554202
vehicle,Fold_3,fda,0.1,0.8,0.846153846153846,0.794230589116793
vehicle,Fold_3,fda,0.1,0.9,0.834319526627219,0.778412549754156
vehicle,Fold_3,fda,0.1,1,0.810650887573965,0.746887578395582
vehicle,Fold_3,fda,0.2,0.1,0.982248520710059,0.976215049727904
vehicle,Fold_3,fda,0.2,0.2,0.970414201183432,0.960388149259329
vehicle,Fold_3,fda,0.2,0.25,0.952662721893491,0.936603207352527
vehicle,Fold_3,fda,0.2,0.3,0.923076923076923,0.896839930506644
vehicle,Fold_3,fda,0.2,0.4,0.887573964497041,0.849114233353696
vehicle,Fold_3,fda,0.2,0.5,0.846153846153846,0.793641102709811
vehicle,Fold_3,fda,0.2,0.6,0.822485207100592,0.761960655429832
vehicle,Fold_3,fda,0.2,0.7,0.804733727810651,0.737996805412008
vehicle,Fold_3,fda,0.2,0.75,0.781065088757396,0.706086956521739
vehicle,Fold_3,fda,0.2,0.8,0.775147928994083,0.698185919729298
vehicle,Fold_3,fda,0.2,0.9,0.733727810650888,0.642622180451128
vehicle,Fold_3,fda,0.2,1,0.70414201183432,0.602820211515864
vehicle,Fold_3,fda,0.3,0.1,0.958579881656805,0.94458756850438
vehicle,Fold_3,fda,0.3,0.2,0.923076923076923,0.897033322397713
vehicle,Fold_3,fda,0.3,0.25,0.899408284023669,0.865275498241501
vehicle,Fold_3,fda,0.3,0.3,0.875739644970414,0.833528777147146
vehicle,Fold_3,fda,0.3,0.4,0.834319526627219,0.777975883263736
vehicle,Fold_3,fda,0.3,0.5,0.804733727810651,0.738855590934632
vehicle,Fold_3,fda,0.3,0.6,0.781065088757396,0.707037106446777
vehicle,Fold_3,fda,0.3,0.7,0.739644970414201,0.652019280265806
vehicle,Fold_3,fda,0.3,0.75,0.72189349112426,0.628328108183988
vehicle,Fold_3,fda,0.3,0.8,0.70414201183432,0.60436370446671
vehicle,Fold_3,fda,0.3,0.9,0.63905325443787,0.517459277288897
vehicle,Fold_3,fda,0.3,1,0.603550295857988,0.469400187441425
vehicle,Fold_4,fda,0.1,0.1,1,1
vehicle,Fold_4,fda,0.1,0.2,0.970588235294118,0.960540364885567
vehicle,Fold_4,fda,0.1,0.25,0.947058823529412,0.92900561458865
vehicle,Fold_4,fda,0.1,0.3,0.923529411764706,0.897233201581028
vehicle,Fold_4,fda,0.1,0.4,0.9,0.865706319702602
vehicle,Fold_4,fda,0.1,0.5,0.882352941176471,0.842066146413972
vehicle,Fold_4,fda,0.1,0.6,0.876470588235294,0.834177156393701
vehicle,Fold_4,fda,0.1,0.7,0.864705882352941,0.818198725996187
vehicle,Fold_4,fda,0.1,0.75,0.864705882352941,0.818198725996187
vehicle,Fold_4,fda,0.1,0.8,0.864705882352941,0.818198725996187
vehicle,Fold_4,fda,0.1,0.9,0.847058823529412,0.794581028953851
vehicle,Fold_4,fda,0.1,1,0.841176470588235,0.786531485443215
vehicle,Fold_4,fda,0.2,0.1,0.988235294117647,0.984226397587567
vehicle,Fold_4,fda,0.2,0.2,0.947058823529412,0.928900041823505
vehicle,Fold_4,fda,0.2,0.25,0.923529411764706,0.897271417282573
vehicle,Fold_4,fda,0.2,0.3,0.905882352941176,0.87334699199106
vehicle,Fold_4,fda,0.2,0.4,0.858823529411765,0.81031196243433
vehicle,Fold_4,fda,0.2,0.5,0.829411764705882,0.770772306690845
vehicle,Fold_4,fda,0.2,0.6,0.811764705882353,0.74700027904381
vehicle,Fold_4,fda,0.2,0.7,0.770588235294118,0.691110696980992
vehicle,Fold_4,fda,0.2,0.75,0.758823529411765,0.675043125553639
vehicle,Fold_4,fda,0.2,0.8,0.747058823529412,0.659080309672605
vehicle,Fold_4,fda,0.2,0.9,0.735294117647059,0.643373269311454
vehicle,Fold_4,fda,0.2,1,0.711764705882353,0.611528237653314
vehicle,Fold_4,fda,0.3,0.1,0.976470588235294,0.968429360694554
vehicle,Fold_4,fda,0.3,0.2,0.929411764705882,0.905120692060834
vehicle,Fold_4,fda,0.3,0.25,0.917647058823529,0.889312622081667
vehicle,Fold_4,fda,0.3,0.3,0.894117647058824,0.857435706298919
vehicle,Fold_4,fda,0.3,0.4,0.864705882352941,0.818037974683544
vehicle,Fold_4,fda,0.3,0.5,0.841176470588235,0.786312849162011
vehicle,Fold_4,fda,0.3,0.6,0.8,0.730975098906214
vehicle,Fold_4,fda,0.3,0.7,0.782352941176471,0.707033069399162
vehicle,Fold_4,fda,0.3,0.75,0.752941176470588,0.666495399131206
vehicle,Fold_4,fda,0.3,0.8,0.735294117647059,0.6427070197562
vehicle,Fold_4,fda,0.3,0.9,0.711764705882353,0.610419979421944
vehicle,Fold_4,fda,0.3,1,0.664705882352941,0.546199597246289
vehicle,Fold_5,fda,0.1,0.1,0.976190476190476,0.968193865959864
vehicle,Fold_5,fda,0.1,0.2,0.958333333333333,0.94434980124929
vehicle,Fold_5,fda,0.1,0.25,0.958333333333333,0.94434980124929
vehicle,Fold_5,fda,0.1,0.3,0.952380952380952,0.936411809235428
vehicle,Fold_5,fda,0.1,0.4,0.946428571428571,0.928483587172453
vehicle,Fold_5,fda,0.1,0.5,0.916666666666667,0.888710135326961
vehicle,Fold_5,fda,0.1,0.6,0.898809523809524,0.864913442436856
vehicle,Fold_5,fda,0.1,0.7,0.880952380952381,0.841089670828604
vehicle,Fold_5,fda,0.1,0.75,0.875,0.833223031105228
vehicle,Fold_5,fda,0.1,0.8,0.869047619047619,0.825231700397201
vehicle,Fold_5,fda,0.1,0.9,0.863095238095238,0.81732223903177
vehicle,Fold_5,fda,0.1,1,0.845238095238095,0.793514228987426
vehicle,Fold_5,fda,0.2,0.1,0.958333333333333,0.944397163120568
vehicle,Fold_5,fda,0.2,0.2,0.910714285714286,0.880986115046756
vehicle,Fold_5,fda,0.2,0.25,0.892857142857143,0.857169846967693
vehicle,Fold_5,fda,0.2,0.3,0.880952380952381,0.84137475214805
vehicle,Fold_5,fda,0.2,0.4,0.827380952380952,0.770275367785741
vehicle,Fold_5,fda,0.2,0.5,0.785714285714286,0.714851485148515
vehicle,Fold_5,fda,0.2,0.6,0.738095238095238,0.651715039577836
vehicle,Fold_5,fda,0.2,0.7,0.708333333333333,0.612502353605724
vehicle,Fold_5,fda,0.2,0.75,0.69047619047619,0.588661832564272
vehicle,Fold_5,fda,0.2,0.8,0.678571428571429,0.573162698786111
vehicle,Fold_5,fda,0.2,0.9,0.660714285714286,0.549576669802446
vehicle,Fold_5,fda,0.2,1,0.607142857142857,0.478751410304626
vehicle,Fold_5,fda,0.3,0.1,0.958333333333333,0.944344533838145
vehicle,Fold_5,fda,0.3,0.2,0.904761904761905,0.872979869577544
vehicle,Fold_5,fda,0.3,0.25,0.880952380952381,0.841224836971931
vehicle,Fold_5,fda,0.3,0.3,0.869047619047619,0.825380326939431
vehicle,Fold_5,fda,0.3,0.4,0.827380952380952,0.770101925254813
vehicle,Fold_5,fda,0.3,0.5,0.773809523809524,0.699208443271768
vehicle,Fold_5,fda,0.3,0.6,0.744047619047619,0.659919028340081
vehicle,Fold_5,fda,0.3,0.7,0.714285714285714,0.620374729309858
vehicle,Fold_5,fda,0.3,0.75,0.702380952380952,0.6044825313118
vehicle,Fold_5,fda,0.3,0.8,0.672619047619048,0.564971751412429
vehicle,Fold_5,fda,0.3,0.9,0.636904761904762,0.51769578313253
vehicle,Fold_5,fda,0.3,1,0.601190476190476,0.47085370440015
vehicle,Fold_1,gbm,0.1,0.1,1,1
vehicle,Fold_1,gbm,0.1,0.2,1,1
vehicle,Fold_1,gbm,0.1,0.25,1,1
vehicle,Fold_1,gbm,0.1,0.3,0.994152046783626,0.992156323104445
vehicle,Fold_1,gbm,0.1,0.4,0.988304093567251,0.984321276303122
vehicle,Fold_1,gbm,0.1,0.5,0.988304093567251,0.984321276303122
vehicle,Fold_1,gbm,0.1,0.6,0.982456140350877,0.976494845360825
vehicle,Fold_1,gbm,0.1,0.7,0.982456140350877,0.976494845360825
vehicle,Fold_1,gbm,0.1,0.75,0.982456140350877,0.976494845360825
vehicle,Fold_1,gbm,0.1,0.8,0.982456140350877,0.976494845360825
vehicle,Fold_1,gbm,0.1,0.9,0.976608187134503,0.968677016073637
vehicle,Fold_1,gbm,0.1,1,0.976608187134503,0.968677016073637
vehicle,Fold_1,gbm,0.2,0.1,0.994152046783626,0.992168895402088
vehicle,Fold_1,gbm,0.2,0.2,0.994152046783626,0.992168895402088
vehicle,Fold_1,gbm,0.2,0.25,0.994152046783626,0.992168895402088
vehicle,Fold_1,gbm,0.2,0.3,0.988304093567251,0.984330614863007
vehicle,Fold_1,gbm,0.2,0.4,0.982456140350877,0.976510989010989
vehicle,Fold_1,gbm,0.2,0.5,0.982456140350877,0.976510989010989
